date,open,high,low,mstr
2023-01-19 16:00:00,219.83,223.315,217.83,218.19
2023-01-19 17:00:00,218.19,221.32,218.19,219.17
2023-01-19 18:00:00,219.17,223.14,218.84,221.52
2023-01-19 19:00:00,221.52,227.3,220.88,226.34
2023-01-19 20:00:00,226.2,227.295,221.56,221.56
2023-01-20 15:00:00,223.63,224.91,221.19,221.19
2023-01-20 16:00:00,221.19,228.71,221.19,228.69
2023-01-20 17:00:00,228.69,231.9,228.69,230.63
2023-01-20 18:00:00,230.63,231.7,229.87,231.54
2023-01-20 19:00:00,231.54,232.11,229.99,232.11
2023-01-20 20:00:00,232.04,241.99,231.86,240.01
2023-01-23 15:00:00,238.88,242.54,236.7,238.03
2023-01-23 16:00:00,239.47,242.87,239.47,241.46
2023-01-23 17:00:00,241.46,245.99,240.56,245.99
2023-01-23 18:00:00,246.35,249.48,246.06,247.25
2023-01-23 19:00:00,246.32,248.015,241.96,243.46
2023-01-23 20:00:00,243.46,250.39,243.46,250.24
2023-01-24 15:00:00,249.99,249.99,241.91,249.56
2023-01-24 16:00:00,249.56,249.56,247.69,248.085
2023-01-24 17:00:00,248.085,248.085,245.6,246.86
2023-01-24 18:00:00,246.86,247.96,245.34,247.96
2023-01-24 19:00:00,247.96,249.605,247.23,249.605
2023-01-24 20:00:00,249.605,249.605,245.1,247.7
2023-01-25 15:00:00,233.94,236.5,233.66,235.86
2023-01-25 16:00:00,237.24,237.97,237.24,237.97
2023-01-25 17:00:00,237.97,237.97,234.375,236.44
2023-01-25 18:00:00,236.44,242.3,236.44,242.17
2023-01-25 19:00:00,242.17,246.26,242.17,245.87
2023-01-25 20:00:00,245.87,247.18,244.195,245.19
2023-01-26 15:00:00,245.94,247.94,241.52,241.52
2023-01-26 16:00:00,241.52,241.52,236.63,240.57
2023-01-26 17:00:00,240.57,243.02,240.57,241.31
2023-01-26 18:00:00,241.31,242.175,240.955,240.955
2023-01-26 19:00:00,240.955,243.09,240.2,242.35
2023-01-26 20:00:00,242.35,245.56,241.5,245.35
2023-01-27 15:00:00,243.09,246.42,242.645,242.78
2023-01-27 16:00:00,242.78,250.06,242.78,250.03
2023-01-27 17:00:00,250.03,251.13,248.66,251.13
2023-01-27 18:00:00,251.13,252.97,248.77,252.97
2023-01-27 19:00:00,252.97,254.91,252.9,254.8
2023-01-27 20:00:00,254.67,261.4,254.67,258.75
2023-01-30 15:00:00,255.95,257.61,244.79,247.625
2023-01-30 16:00:00,247.9,248.88,243.79,246.455
2023-01-30 17:00:00,246.455,248.47,246.455,248.44
2023-01-30 18:00:00,248.44,249.71,246.99,248.265
2023-01-30 19:00:00,248.265,248.8,241.17,242.05
2023-01-30 20:00:00,242.05,244.76,239.56,244.29
2023-01-31 15:00:00,251.48,255.5,249.96,255.46
2023-01-31 16:00:00,255.46,256.29,254.005,254.005
2023-01-31 17:00:00,252.95,257.44,251.57,256.14
2023-01-31 18:00:00,255.56,255.66,252.04,253.23
2023-01-31 19:00:00,253.29,255.11,252.06,254.2
2023-01-31 20:00:00,254.2,254.67,249.835,251.91
2023-02-01 15:00:00,250.685,250.685,245.775,245.83
2023-02-01 16:00:00,245.83,247.28,244.875,246.24
2023-02-01 17:00:00,246.24,246.57,244.8,246.46
2023-02-01 18:00:00,246.46,248.26,246.38,247.43
2023-02-01 19:00:00,247.43,259.83,244.75,259.285
2023-02-01 20:00:00,260.3,273.33,260.25,267.92
2023-02-02 15:00:00,277.39,302.67,277.21,296.905
2023-02-02 16:00:00,295.74,295.74,289.235,289.97
