date,open,high,low,mstr
2025-04-29 15:00:00,377.75,379.245,375.19,377.73
2025-04-29 16:00:00,377.71,382.66,377.135,378.71
2025-04-29 17:00:00,378.91,382.505,378.055,382.24
2025-04-29 18:00:00,382.065,383.91,380.455,382.11
2025-04-29 19:00:00,382.005,382.845,379.5,381.45
2025-04-30 14:00:00,365.23,380.215,363.93,378.24
2025-04-30 15:00:00,378.175,384.11,378.175,382.165
2025-04-30 16:00:00,382.165,384.29,378.66,381.43
2025-04-30 17:00:00,381.64,382.45,378.55,380.99
2025-04-30 18:00:00,381.22,383.56,377.67,378.86
2025-04-30 19:00:00,379.55,381.0,376.475,380.0
2025-05-01 14:00:00,388.09,399.445,386.985,399.03
2025-05-01 15:00:00,399.21,403.58,395.93,397.52
2025-05-01 16:00:00,398.05,400.01,395.85,395.95
2025-05-01 17:00:00,395.68,397.88,388.35,389.68
2025-05-01 18:00:00,389.355,393.22,385.51,390.62
2025-05-01 19:00:00,390.715,390.715,381.03,381.7
2025-05-02 14:00:00,390.56,395.49,387.93,395.41
2025-05-02 15:00:00,396.0,396.98,392.48,395.545
2025-05-02 16:00:00,395.82,397.59,393.45,394.06
2025-05-02 17:00:00,394.34,397.74,393.17,396.115
2025-05-02 18:00:00,396.365,401.71,396.285,401.3
2025-05-02 19:00:00,401.24,401.24,391.76,394.21
2025-05-05 14:00:00,379.33,382.0,374.295,375.61
2025-05-05 15:00:00,375.98,377.78,375.05,376.0
2025-05-05 16:00:00,376.275,381.27,375.51,380.53
2025-05-05 17:00:00,380.37,384.8,379.86,383.44
2025-05-05 18:00:00,383.7,389.35,383.37,387.64
2025-05-05 19:00:00,387.78,391.875,385.555,386.46
2025-05-06 14:00:00,380.5,384.725,377.89,379.36
2025-05-06 15:00:00,379.585,384.43,378.63,382.355
2025-05-06 16:00:00,382.52,384.27,381.0,381.14
2025-05-06 17:00:00,381.15,384.4,381.15,382.58
2025-05-06 18:00:00,382.74,385.06,382.41,384.595
2025-05-06 19:00:00,384.79,387.535,384.6,385.36
2025-05-07 14:00:00,391.55,396.27,391.23,392.61
2025-05-07 15:00:00,392.77,395.85,391.28,393.945
2025-05-07 16:00:00,393.81,395.145,391.72,394.47
2025-05-07 17:00:00,394.45,394.685,390.68,391.22
2025-05-07 18:00:00,391.46,394.39,388.37,393.585
2025-05-07 19:00:00,393.585,394.435,388.65,392.34
