date,open,high,low,mstr
2023-02-16 20:00:00,293.62,293.62,282.97,283.88
2023-02-17 15:00:00,278.29,283.82,278.29,280.18
2023-02-17 16:00:00,280.18,283.79,277.14,278.675
2023-02-17 17:00:00,279.26,284.94,279.26,281.295
2023-02-17 18:00:00,281.295,284.03,281.295,283.265
2023-02-17 19:00:00,283.265,291.0,282.93,289.695
2023-02-17 20:00:00,289.695,297.0,289.695,293.705
2023-02-21 15:00:00,279.71,279.9,272.33,274.64
2023-02-21 16:00:00,274.64,275.33,270.0,274.58
2023-02-21 17:00:00,274.36,276.91,274.36,275.7
2023-02-21 18:00:00,275.7,276.365,271.22,271.8
2023-02-21 19:00:00,271.89,272.92,269.44,270.62
2023-02-21 20:00:00,270.41,271.37,267.77,270.35
2023-02-22 15:00:00,268.99,270.51,264.26,269.81
2023-02-22 16:00:00,269.81,270.4,264.33,265.38
2023-02-22 17:00:00,265.38,265.95,263.64,263.64
2023-02-22 18:00:00,263.58,267.47,262.44,265.77
2023-02-22 19:00:00,265.77,269.35,265.04,265.69
2023-02-22 20:00:00,265.69,270.115,265.69,268.68
2023-02-23 15:00:00,273.48,273.48,266.07,267.07
2023-02-23 16:00:00,267.5,268.895,262.18,262.18
2023-02-23 17:00:00,262.73,267.06,262.73,265.06
2023-02-23 18:00:00,265.06,266.58,264.34,266.58
2023-02-23 19:00:00,266.58,268.09,266.285,267.55
2023-02-23 20:00:00,267.55,270.47,266.23,266.245
2023-02-24 15:00:00,260.52,260.52,251.5,251.5
2023-02-24 16:00:00,251.51,255.3,249.41,254.34
2023-02-24 17:00:00,254.34,254.34,251.85,251.9
2023-02-24 18:00:00,251.9,255.29,250.7,254.86
2023-02-24 19:00:00,254.86,255.44,252.7,254.96
2023-02-24 20:00:00,254.96,256.6,253.85,256.24
2023-02-27 15:00:00,262.88,268.19,262.19,264.03
2023-02-27 16:00:00,264.03,265.34,261.03,263.18
2023-02-27 17:00:00,263.18,263.18,261.4,262.64
2023-02-27 18:00:00,262.64,262.735,258.2,259.35
2023-02-27 19:00:00,259.365,260.105,256.555,256.86
2023-02-27 20:00:00,256.86,258.41,255.8,257.9
2023-02-28 15:00:00,262.96,265.17,261.67,262.61
2023-02-28 16:00:00,262.61,266.7,262.61,264.0
2023-02-28 17:00:00,264.42,267.0,264.3,267.0
2023-02-28 18:00:00,267.0,268.64,265.1,268.63
2023-02-28 19:00:00,268.63,269.68,265.46,266.96
2023-02-28 20:00:00,266.96,266.96,260.2,263.06
2023-03-01 15:00:00,266.04,266.04,257.32,260.38
2023-03-01 16:00:00,260.38,260.38,255.01,257.39
2023-03-01 17:00:00,257.39,261.74,257.39,260.74
2023-03-01 18:00:00,260.74,260.74,255.68,256.58
2023-03-01 19:00:00,256.58,257.07,254.3,254.85
2023-03-01 20:00:00,254.85,259.7,254.21,258.12
2023-03-02 15:00:00,244.41,250.925,244.37,250.925
2023-03-02 16:00:00,250.935,252.19,248.7,248.7
2023-03-02 17:00:00,248.7,249.06,243.67,243.67
2023-03-02 18:00:00,243.67,249.27,243.43,249.27
2023-03-02 19:00:00,250.56,250.995,248.53,250.995
2023-03-02 20:00:00,250.995,253.66,250.085,252.85
2023-03-03 15:00:00,243.39,248.77,238.02,246.5
2023-03-03 16:00:00,246.5,247.97,245.54,245.615
2023-03-03 17:00:00,247.025,252.1,246.235,251.46
2023-03-03 18:00:00,251.09,251.09,246.24,247.02
2023-03-03 19:00:00,247.13,249.51,247.02,249.43
2023-03-03 20:00:00,249.43,249.91,245.61,246.92
2023-03-06 15:00:00,244.73,251.13,244.73,250.68
2023-03-06 16:00:00,250.68,251.86,249.56,250.0
2023-03-06 17:00:00,249.94,249.94,247.05,247.05
2023-03-06 18:00:00,247.05,247.05,242.48,242.48
2023-03-06 19:00:00,242.48,242.945,239.61,239.61
2023-03-06 20:00:00,240.08,241.03,237.26,237.7
2023-03-07 15:00:00,232.62,237.76,231.065,236.3
2023-03-07 16:00:00,236.3,238.05,233.71,237.36
